names,c
SusanDavis,448
GinaDegeneres,392
MichaelBolger,324
SeanGuiness,318
MatthewCarrey,317
MaryKeitel,315
JayneNolte,313
WarrenNolte,310
ValBolger,304
EwanGooding,300
AngelaWitherspoon,299
HenryBerry,297
SidneyCrowe,297
CameronZellweger,295
SandraKilmer,294
WalterTorn,293
KevinGarland,292
KennethTorn,289
RipCrawford,285
WoodyHoffman,285
MaryTandy,283
AlbertNolte,281
WillWilson,279
ReneeTracy,278
ReeseKilmer,277
NatalieHopkins,275
JohnnyLollobrigida,275
BenWillis,274
RussellTemple,272
JadaRyder,272
ReeseWest,269
JodieDegeneres,268
HelenVoight,266
ReneeBall,266
GregoryGooding,266
EdGuiness,265
AlecWayne,264
AngelaHudson,262
WoodyJolie,260
JuliaMcqueen,259
MenaTemple,259
OlympiaPfeiffer,259
IanTandy,258
TomMiranda,257
GrouchoSinatra,255
ScarlettDamon,254
FayWinslet,252
JayneNeeson,251
GretaMalden,251
JohnnyCage,250
VivienBasinger,249
AlbertJohansson,247
WhoopiHurt,247
DarylCrawford,247
LucilleTracy,247
WarrenJackman,246
FrancesDay-Lewis,246
MatthewLeigh,244
JamesPitt,243
JudeCruise,243
RichardPenn,242
PenelopeCronyn,242
KirkJovovich,241
CubaOlivier,240
AlanDreyfuss,240
RayJohansson,239
GraceMostel,236
BurtDukakis,235
KirstenPaltrow,235
MorganHopkins,235
GeoffreyHeston,234
UmaWood,233
EdMansfield,233
HumphreyGarland,232
MorganWilliams,232
GeneMckellen,231
MillaKeitel,231
CateMcqueen,231
GoldieBrody,231
JulianneDench,230
HarveyHope,230
MaeHoffman,230
PenelopeMonroe,229
LauraBrody,228
DustinTautou,228
VivienBergen,228
SalmaNolte,227
RussellBacall,225
GaryPhoenix,225
KirstenAkroyd,223
RipWinslet,221
RockDukakis,221
ChristianAkroyd,219
ZeroCage,219
MichelleMcconaughey,219
CateHarris,217
AudreyOlivier,216
FredCostner,216
KarlBerry,215
ChristopherWest,215
GretaKeitel,215
BurtTemple,214
CharlizeDench,213
HumphreyWillis,213
GregChaplin,212
SeanWilliams,212
HarrisonBale,210
NickStallone,210
AlGarland,210
DanHarris,210
AnneCronyn,209
JohnSuvari,208
GaryPenn,208
CubaBirch,207
ChrisBridges,207
JayneSilverstone,206
MegHawke,206
AngelinaAstaire,205
JoeSwank,203
NickDegeneres,202
MenaHopper,202
KimAllen,201
RalphCruz,201
BelaWalken,200
MillaPeck,200
JimMostel,197
EllenPresley,197
PenelopePinkett,196
LaurenceBullock,196
GrouchoDunst,196
BurtPosey,195
MerylGibson,193
CubaAllen,192
ElvisMarx,191
GeneHopkins,189
TimHackman,189
CaryMcconaughey,188
SylvesterDern,188
MerylAllen,188
CarmenHunt,188
GrouchoWilliams,187
JonChase,187
KennethHoffman,187
JuliaBarrymore,186
AudreyBailey,185
FayWood,185
OprahKilmer,185
JaneJackman,185
ParkerGoldberg,184
LisaMonroe,184
AdamHopper,184
WilliamHackman,183
DarylWahlberg,182
ChristianGable,181
NickWahlberg,180
JessicaBailey,180
BobFawcett,178
GeneWillis,177
KevinBloom,177
ChristianNeeson,176
FrancesTomei,176
DebbieAkroyd,176
MichaelBening,174
TomMckellen,171
DanTorn,170
RiverDean,170
ScarlettBening,170
CameronStreep,169
PenelopeGuiness,168
MorganMcdormand,168
MinnieZellweger,168
KennethPesci,163
ChristopherBerry,161
FayKilmer,158
EdChase,154
BenHarris,150
JeffSilverstone,150
SpencerDepp,150
LucilleDee,150
MatthewJohansson,147
ChrisDepp,143
KennethPaltrow,142
RussellClose,142
MinnieKilmer,141
DanStreep,138
ThoraTemple,137
SpencerPeck,137
CameronWray,135
BetteNicholson,134
SandraPeck,133
LizaBergman,128
JuliaFawcett,126
AdamGrant,123
RitaReynolds,120
JenniferDavis,117
SissySobieski,116
JudyDean,110
EmilyDee,105
JuliaZellweger,98
